Membership Plan,4 New Members,Net Increase,Sponsor New Kiwanis Club,Apppointed Membership Chair,Use ACE Tools,Officer Attended CLE,Convention Attendance,Attended Amplify,Signature Project Contest Entry,Annual Signature Project,Sponsors a Service Leadership Program,Supports a Local Children-focused Organization,KCF Support,Completed a Club Fundraising Project,Active Partnership with KI or Local Partner,Received Positive Media Coverage,Completed Youth Protection Education,Appointed PR Chair,Points earned,District ID,District Name,Club ID,Club Name
0,15,20,0,5,5,0,5,5,0,5,15,5,15,5,5,5,0,0,110,K12,Michigan,K00001,Detroit Kiwanis Club No. 1
0,15,0,0,0,5,0,5,0,0,5,15,5,0,5,5,5,0,0,65,K20,Ohio,K00002,Cleveland
0,0,0,0,0,5,0,5,0,0,5,0,5,0,5,5,5,0,0,35,K23,Pennsylvania,K00003,Pittsburgh
5,15,0,0,5,5,10,5,0,0,5,15,5,0,5,5,5,5,5,95,K23,Pennsylvania,K00004,Allentown
0,15,0,0,0,5,0,5,0,0,5,15,5,0,5,5,5,5,5,75,K23,Pennsylvania,K00005,Altoona
5,15,0,0,5,5,0,5,0,0,5,0,5,0,5,5,5,0,5,65,K06,Georgia,K00006,Atlanta
0,15,20,0,5,5,10,5,5,0,5,15,5,0,5,5,5,5,5,115,K07,Illinois-Eastern Iowa,K00007,Aurora
0,15,0,0,5,5,10,5,0,0,5,15,5,15,5,5,5,5,5,105,K11,Louisiana-Mississippi-West Tennessee,K00010,Baton Rouge
0,0,0,0,0,5,0,5,0,0,5,0,5,0,5,5,5,0,0,35,K12,Michigan,K00011,Bay City
0,15,0,0,0,5,0,5,0,5,5,15,5,0,5,5,5,0,0,70,K01,Alabama,K00013,Birmingham
0,15,20,0,0,5,0,5,0,0,5,0,5,0,5,5,5,0,0,70,K28,Western Canada,K00015,Brandon
5,15,0,0,5,5,10,5,0,5,5,0,5,0,5,5,5,5,5,85,K21,Eastern Canada and the Caribbean,K00016,Brantford
0,0,0,0,0,5,0,5,0,0,5,0,5,0,5,5,5,0,0,35,K17,New England and Bermuda,K00017,Bridgeport
0,0,0,0,0,5,0,5,5,0,5,15,5,10,5,5,5,0,0,65,K19,New York,K00018,Buffalo
0,0,0,0,0,5,0,5,0,0,5,0,5,10,5,5,5,0,0,45,K20,Ohio,K00019,Canton
0,0,0,0,5,5,0,5,0,0,5,0,5,0,5,5,5,0,0,40,K20,Ohio,K0001A,Akron
5,0,0,0,0,5,10,5,0,0,5,15,5,0,5,5,5,0,0,65,K10,Kentucky-Tennessee,K00021,Chattanooga
5,0,0,0,0,5,0,5,0,0,5,0,5,0,5,5,5,0,0,40,K23,Pennsylvania,K00022,Chester
0,0,0,0,5,5,0,5,0,0,5,0,5,0,5,5,5,0,5,45,K30,Wisconsin-Upper Michigan,K00024,Chippewa Falls
0,0,0,0,0,5,0,5,5,0,5,15,5,15,5,5,5,5,0,75,K20,Ohio,K00025,Cincinnati
5,15,20,0,5,5,0,5,0,0,5,15,5,15,5,5,5,0,5,115,K20,Ohio,K00027,Columbus
0,0,0,0,0,5,0,5,0,0,5,0,5,15,5,5,5,0,5,55,K20,Ohio,K00029,Dayton
5,0,0,0,0,5,0,5,0,5,5,15,5,0,5,5,5,0,0,60,K19,New York,K0002A,Albany
5,15,0,0,5,5,0,5,0,0,5,15,5,0,5,5,5,0,0,75,K20,Ohio,K00030,Delaware
0,15,20,0,0,5,0,5,0,0,5,0,5,0,5,5,5,0,0,70,K24,Rocky Mountain,K00031,Denver
5,0,0,0,0,5,0,5,0,0,5,15,5,0,5,5,5,0,0,55,K13,Minnesota-Dakotas,K00033,Duluth
0,15,20,0,5,5,10,5,0,5,5,15,5,10,5,5,5,5,5,125,K23,Pennsylvania,K00034,Easton
0,0,0,0,5,5,10,5,5,0,5,15,5,10,5,5,5,5,5,90,K30,Wisconsin-Upper Michigan,K00035,Eau Claire
5,15,0,0,5,5,10,5,0,0,5,15,5,0,5,5,5,5,5,95,K08,Indiana,K00036,Elkhart
5,15,0,0,5,5,10,5,0,0,5,15,5,15,5,5,5,5,0,105,K19,New York,K00037,Elmira
0,0,0,0,5,5,0,5,0,0,5,15,5,0,5,5,5,0,0,55,K25,Southwest,K00038,El Paso
0,0,0,0,0,5,0,5,0,5,5,15,5,0,5,5,5,0,0,55,K20,Ohio,K00039,Elyria
5,15,0,0,5,5,0,5,0,0,5,15,5,15,5,5,5,0,0,90,K25,Southwest,K0003A,Albuquerque
5,15,0,0,5,5,10,5,0,0,5,15,5,15,5,5,5,0,5,105,K23,Pennsylvania,K00040,Erie
5,15,0,0,5,5,10,5,0,0,5,15,5,0,5,5,5,0,5,90,K08,Indiana,K00041,Evansville
0,0,0,0,0,5,0,5,0,0,5,15,5,15,5,5,5,0,0,65,K12,Michigan,K00042,Flint
5,15,20,0,5,5,10,5,0,0,5,0,5,10,5,5,5,0,0,100,K08,Indiana,K00043,Fort Wayne
5,15,20,0,5,5,10,5,0,0,5,15,5,15,5,5,5,0,0,120,K26,Texas-Oklahoma,K00044,Fort Worth
0,0,0,0,0,5,0,5,0,0,5,15,5,0,5,5,5,5,0,55,K30,Wisconsin-Upper Michigan,K00046,Green Bay
0,0,0,0,5,5,0,5,0,0,5,0,5,0,5,5,5,0,0,40,K21,Eastern Canada and the Caribbean,K00047,Hamilton
0,15,20,0,5,5,0,5,0,0,5,15,5,0,5,5,5,5,5,100,K23,Pennsylvania,K00048,Harrisburg
0,0,0,0,5,5,10,5,0,0,5,0,5,0,5,5,5,0,5,55,K17,New England and Bermuda,K00049,Hartford
0,0,0,0,0,5,0,5,0,0,5,15,5,0,5,5,5,0,0,50,K26,Texas-Oklahoma,K00051,Houston
0,15,0,0,0,5,10,5,0,5,5,15,5,0,5,5,5,5,0,85,K03,Capital,K00052,Huntington
5,15,0,0,5,5,10,5,0,0,5,15,5,15,5,5,5,5,5,110,K08,Indiana,K00053,Indianapolis
5,15,0,0,5,5,0,5,0,0,5,15,5,15,5,5,5,5,5,100,K12,Michigan,K00054,Jackson
0,15,20,0,5,5,10,5,0,0,5,15,5,10,5,5,5,0,5,115,K12,Michigan,K00058,Kalamazoo
5,0,0,0,5,5,0,5,0,0,5,15,5,0,5,5,5,0,5,65,K14,Missouri-Arkansas,K00059,Kansas City
0,0,0,0,0,5,0,5,0,0,5,15,5,0,5,5,5,5,0,55,K10,Kentucky-Tennessee,K00061,Knoxville
0,15,20,0,5,5,10,5,0,5,5,15,5,15,5,5,5,5,0,125,K08,Indiana,K00062,Lafayette
5,0,0,0,0,5,10,5,0,0,5,0,5,0,5,5,5,,0,50,K12,Michigan,K00064,Lansing
5,15,20,0,5,5,10,5,5,0,5,0,5,15,5,5,5,5,0,115,K16,Nebraska-Iowa,K00065,Lincoln Nebraska-Lincoln Center
0,0,0,0,5,5,10,5,0,0,5,15,5,0,5,5,5,5,0,70,K19,New York,K00066,Lockport
0,0,0,0,5,5,0,5,0,0,5,15,5,0,5,5,5,0,0,55,K02,California-Nevada-Hawaii,K00067,Los Angeles
5,15,0,10,5,5,10,5,0,0,5,15,5,0,5,5,5,5,5,105,K10,Kentucky-Tennessee,K00068,Louisville
